"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"SVN",2017,1,"rolling",0.865,0.135,1.47121212121212
"SVK",2017,1,"rolling",0.788,0.212,0.575925925925926
"TUR",2017,1,"rolling",0.569,0.431,1.57676767676768
"USA",2017,1,"rolling",0.673,0.327,0.728869047619048
"ARM",2015,2,"rolling",0.902,0.098,0.0571428571428571
"AUT",2015,2,"rolling",0.25,0.75,1.07142857142857
"BEL",2015,2,"rolling",0.83,0.17,1.6
"CHE",2015,2,"rolling",0.868,0.132,0.933333333333333
"CZE",2015,2,"rolling",0.792,0.208,1.675
"DNK",2015,2,"rolling",0.7,0.3,0.13719298245614
"EST",2015,2,"rolling",0.547,0.453,0.874219114219114
"ESP",2015,2,"rolling",0.655,0.345,1.61666666666667
"GEO",2015,2,"rolling",0.755,0.245,0.24702380952381
"GRC",2015,2,"rolling",0.588,0.412,2.18205128205128
"HRV",2015,2,"rolling",0.667,0.333,2.41666666666667
"HUN",2015,2,"rolling",0.792,0.208,0.85
"IRL",2015,2,"rolling",0.868,0.132,0.309468438538206
"ISR",2015,2,"rolling",0.83,0.17,0.327564102564103
"ITA",2015,2,"rolling",0.583,0.417,0.433333333333333
"KGZ",2015,2,"rolling",0.625,0.375,0.556240601503759
"LTU",2015,2,"rolling",0.925,0.075,0.142127659574468
"LUX",2015,2,"rolling",0.69,0.31,1.21666666666667
"LVA",2015,2,"rolling",0.69,0.31,2.4
"MAR",2015,2,"rolling",0.788,0.212,0.127857142857143
"MDA",2015,2,"rolling",0.943,0.0570000000000001,0.1
"MLT",2015,2,"rolling",0.957,0.043,0.8
"NLD",2015,2,"rolling",0.547,0.453,0.917878787878788
"NOR",2015,2,"rolling",0.517,0.483,2.53910256410256
"POL",2015,2,"rolling",0.574,0.426,0.386858974358974
"PRT",2015,2,"rolling",0.83,0.17,1.85
"ROU",2015,2,"rolling",0.938,0.0620000000000001,0.3
"SRB",2015,2,"rolling",0.696,0.304,0.257619047619048
"SVN",2015,2,"rolling",0.849,0.151,0.66
"SVK",2015,2,"rolling",0.75,0.25,1.724
"TUR",2015,2,"rolling",0.675,0.325,0.29047619047619
"USA",2015,2,"rolling",0.755,0.245,0.305098039215686
"ARM",2016,2,"rolling",0.692,0.308,2.6027027027027
"AUT",2016,2,"rolling",0.235,0.765,0.78
"BEL",2016,2,"rolling",0.885,0.115,0.383333333333333
"CHE",2016,2,"rolling",0.769,0.231,0.516666666666667
"CZE",2016,2,"rolling",0.769,0.231,0.560714285714286
"DNK",2016,2,"rolling",0.643,0.357,0.605882352941176
"EST",2016,2,"rolling",0.596,0.404,1.67105263157895
"ESP",2016,2,"rolling",0.5,0.5,0.763333333333333
"GEO",2016,2,"rolling",0.739,0.261,0.0516666666666667
"GRC",2016,2,"rolling",0.733,0.267,0.3
"HRV",2016,2,"rolling",0.857,0.143,0.0666666666666667
"HUN",2016,2,"rolling",0.714,0.286,0.405
"IRL",2016,2,"rolling",0.808,0.192,0.3
"ISR",2016,2,"rolling",0.846,0.154,0.766666666666667
"ITA",2016,2,"rolling",0.364,0.636,0.605
"KGZ",2016,2,"rolling",0.44,0.56,1.78787878787879
"LTU",2016,2,"rolling",0.923,0.077,0.616666666666667
"LUX",2016,2,"rolling",0.679,0.321,0.706666666666667
"LVA",2016,2,"rolling",0.786,0.214,0.566666666666667
"MAR",2016,2,"rolling",0.766,0.234,0.162051282051282
"MDA",2016,2,"rolling",1,0,0
"MLT",2016,2,"rolling",0.778,0.222,0.309090909090909
"NLD",2016,2,"rolling",0.481,0.519,1.06287878787879
"NOR",2016,2,"rolling",0.5,0.5,0.794285714285714
"POL",2016,2,"rolling",0.652,0.348,0.473535353535354
"PRT",2016,2,"rolling",0.769,0.231,0.9
"ROU",2016,2,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,2,"rolling",0.562,0.438,1.00428571428571
"SVN",2016,2,"rolling",0.846,0.154,0.358695652173913
"SVK",2016,2,"rolling",0.805,0.195,0.239097744360902
"TUR",2016,2,"rolling",0.533,0.467,0.171428571428571
"USA",2016,2,"rolling",0.673,0.327,0.745096153846154
"ARM",2017,2,"rolling",0.731,0.269,0.660683760683761
"AUT",2017,2,"rolling",0.409,0.591,1.69166666666667
"BEL",2017,2,"rolling",0.8,0.2,0.514285714285714
"CHE",2017,2,"rolling",0.827,0.173,0.904761904761905
"CZE",2017,2,"rolling",0.827,0.173,1.20714285714286
"DNK",2017,2,"rolling",0.821,0.179,0.13859649122807
"EST",2017,2,"rolling",0.519,0.481,0.890560224089636
"ESP",2017,2,"rolling",0.679,0.321,0.580555555555555
"GEO",2017,2,"rolling",0.739,0.261,0.0266666666666667
"GRC",2017,2,"rolling",0.712,0.288,0.881666666666667
"HRV",2017,2,"rolling",0.769,0.231,1.25
"HUN",2017,2,"rolling",0.643,0.357,2.80526315789474
"IRL",2017,2,"rolling",0.846,0.154,0.331111111111111
"ISR",2017,2,"rolling",0.846,0.154,0.66952380952381
"ITA",2017,2,"rolling",0.565,0.435,0.94
"KGZ",2017,2,"rolling",0.5,0.5,0.131428571428571
"LTU",2017,2,"rolling",0.886,0.114,0.9
"LUX",2017,2,"rolling",0.893,0.107,0.471428571428571
"LVA",2017,2,"rolling",0.75,0.25,0.733333333333333
"MAR",2017,2,"rolling",0.75,0.25,0.230098039215686
"MDA",2017,2,"rolling",1,0,0
"MLT",2017,2,"rolling",0.714,0.286,0.585714285714286
"NLD",2017,2,"rolling",0.596,0.404,0.894871794871795
"NOR",2017,2,"rolling",0.536,0.464,1.2952380952381
"POL",2017,2,"rolling",0.519,0.481,1.68469696969697
"PRT",2017,2,"rolling",0.923,0.077,0.127536231884058
"ROU",2017,2,"rolling",1,0,0
"SRB",2017,2,"rolling",0.318,0.682,1.72428571428571
"SVN",2017,2,"rolling",0.865,0.135,1.63787878787879
"SVK",2017,2,"rolling",0.712,0.288,1.09074074074074
"TUR",2017,2,"rolling",0.529,0.471,1.56005050505051
"USA",2017,2,"rolling",0.577,0.423,1.24285714285714
