"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"1","ARM",2016,1,0.692,0.692,0.692,0.558,0.308,0.308,0.308,0.442,2.6027027027027,2.6027027027027,2.6027027027027,2.42972972972973,"Armenia"
"2","ARM",2016,2,0.673,0.673,0.692,0.654,0.327,0.327,0.308,0.346,2.60540540540541,2.60540540540541,2.6027027027027,2.5032175032175,"Armenia"
"3","ARM",2016,3,0.654,0.673,0.692,0.558,0.346,0.327,0.308,0.442,2.61081081081081,2.60540540540541,2.6027027027027,2.69671814671815,"Armenia"
"4","ARM",2016,4,0.673,0.673,0.692,0.615,0.327,0.327,0.308,0.385,2.61081081081081,2.61081081081081,2.6027027027027,2.67007722007722,"Armenia"
"5","AUT",2016,1,0.529,0.529,0.294,0.529,0.471,0.471,0.706,0.471,0.67,0.67,0.996666666666667,0.683333333333333,"Austria"
"6","AUT",2016,2,0.294,0.294,0.235,0.353,0.706,0.706,0.765,0.647,0.61,0.63,1.27666666666667,0.986666666666667,"Austria"
"7","AUT",2016,3,0.176,0.176,0.294,0.294,0.824,0.824,0.706,0.706,0.896666666666667,0.796666666666667,1.50666666666667,1.20333333333333,"Austria"
"8","AUT",2016,4,0.118,0.176,0.353,0.235,0.882,0.824,0.647,0.765,1.11333333333333,0.98,1.47333333333333,1.48666666666667,"Austria"
"9","BEL",2016,1,0.904,0.904,0.865,0.827,0.096,0.096,0.135,0.173,0.416666666666667,0.416666666666667,0.816666666666667,0.469047619047619,"Belgium"
"10","BEL",2016,2,0.865,0.846,0.808,0.788,0.135,0.154,0.192,0.212,0.619047619047619,0.719047619047619,1.05238095238095,0.757142857142857,"Belgium"
"11","BEL",2016,3,0.885,0.885,0.769,0.769,0.115,0.115,0.231,0.231,0.85,0.85,1.32142857142857,1.01428571428571,"Belgium"
"12","BEL",2016,4,0.846,0.846,0.75,0.731,0.154,0.154,0.25,0.269,0.933333333333333,0.885714285714286,1.4452380952381,1.17380952380952,"Belgium"
"13","CHE",2016,1,0.827,0.827,0.75,0.808,0.173,0.173,0.25,0.192,0.258333333333333,0.333333333333333,0.616666666666667,0.227777777777778,"Switzerland"
"14","CHE",2016,2,0.731,0.731,0.731,0.692,0.269,0.269,0.269,0.308,0.65,0.65,0.677777777777778,0.480555555555556,"Switzerland"
"15","CHE",2016,3,0.788,0.75,0.654,0.654,0.212,0.25,0.346,0.346,0.666666666666667,0.775,0.730555555555556,0.644444444444444,"Switzerland"
"16","CHE",2016,4,0.75,0.75,0.654,0.635,0.25,0.25,0.346,0.365,0.602777777777778,0.7,0.788888888888889,0.752777777777778,"Switzerland"
"17","CZE",2016,1,0.846,0.808,0.75,0.865,0.154,0.192,0.25,0.135,0.198809523809524,0.29047619047619,0.605012531328321,0.128822055137845,"Czech Republic"
"18","CZE",2016,2,0.75,0.75,0.692,0.75,0.25,0.25,0.308,0.25,0.585714285714286,0.485714285714286,0.721929824561404,0.265977443609023,"Czech Republic"
"19","CZE",2016,3,0.788,0.769,0.673,0.673,0.212,0.231,0.327,0.327,0.596428571428571,0.621428571428571,0.760526315789474,0.399561403508772,"Czech Republic"
"20","CZE",2016,4,0.75,0.769,0.654,0.673,0.25,0.231,0.346,0.327,0.508333333333333,0.494047619047619,0.765789473684211,0.46077694235589,"Czech Republic"
