"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"21","DNK",2016,1,0.786,0.786,0.571,0.679,0.214,0.214,0.429,0.321,0.247549019607843,0.247549019607843,0.686764705882353,0.355882352941176,"Denmark"
"22","DNK",2016,2,0.607,0.607,0.536,0.607,0.393,0.393,0.464,0.393,0.561764705882353,0.605882352941176,0.725980392156863,0.517647058823529,"Denmark"
"23","DNK",2016,3,0.536,0.536,0.536,0.5,0.464,0.464,0.464,0.5,0.625980392156863,0.625980392156863,0.775980392156863,0.618627450980392,"Denmark"
"24","DNK",2016,4,0.571,0.571,0.5,0.5,0.429,0.429,0.5,0.5,0.690196078431373,0.690196078431373,0.815196078431373,0.664705882352941,"Denmark"
"25","ESP",2016,1,0.464,0.536,0.464,0.536,0.536,0.464,0.536,0.464,0.618333333333333,0.568333333333333,0.765,0.443333333333333,"Spain"
"26","ESP",2016,2,0.429,0.5,0.464,0.5,0.571,0.5,0.536,0.5,0.993333333333333,0.763333333333333,0.88,0.676666666666667,"Spain"
"27","ESP",2016,3,0.429,0.464,0.5,0.357,0.571,0.536,0.5,0.643,1.09333333333333,0.968333333333333,0.805,0.998333333333333,"Spain"
"28","ESP",2016,4,0.429,0.464,0.5,0.357,0.571,0.536,0.5,0.643,1.07166666666667,1.03166666666667,0.84,1.14666666666667,"Spain"
"29","EST",2016,1,0.615,0.615,0.346,0.596,0.385,0.385,0.654,0.404,0.715497076023392,0.715497076023392,2.08947368421053,1.12076023391813,"Estonia"
"30","EST",2016,2,0.481,0.481,0.327,0.519,0.519,0.519,0.673,0.481,1.1562865497076,1.05350877192982,2.5219298245614,1.87046783625731,"Estonia"
"31","EST",2016,3,0.538,0.519,0.327,0.423,0.462,0.481,0.673,0.577,1.8890350877193,2.09429824561404,2.44078947368421,2.54429824561403,"Estonia"
"32","EST",2016,4,0.558,0.538,0.25,0.288,0.442,0.462,0.75,0.712,1.97850877192982,2.18377192982456,2.89795321637427,2.78567251461988,"Estonia"
"33","GEO",2016,1,0.739,0.717,0.609,0.783,0.261,0.283,0.391,0.217,0.0516666666666667,0.0520833333333333,0.06875,0.0479166666666667,"Georgia"
"34","GEO",2016,2,0.696,0.696,0.587,0.739,0.304,0.304,0.413,0.261,0.06125,0.0554166666666667,0.075,0.0604166666666667,"Georgia"
"35","GEO",2016,3,0.674,0.696,0.565,0.674,0.326,0.304,0.435,0.326,0.0645833333333333,0.0554166666666667,0.08125,0.07625,"Georgia"
"36","GEO",2016,4,0.696,0.674,0.565,0.674,0.304,0.326,0.435,0.326,0.0583333333333333,0.0679166666666667,0.0841666666666667,0.07625,"Georgia"
"37","GRC",2016,1,0.733,0.733,0.133,0.667,0.267,0.267,0.867,0.333,0.3,0.3,0.7,0.288888888888889,"Greece"
"38","GRC",2016,2,0.733,0.733,0.133,0.667,0.267,0.267,0.867,0.333,0.3,0.3,0.7,0.288888888888889,"Greece"
"39","GRC",2016,3,0.6,0.533,0.133,0.6,0.4,0.467,0.867,0.4,0.344444444444444,0.366666666666667,0.7,0.311111111111111,"Greece"
"40","GRC",2016,4,0.6,0.533,0.133,0.467,0.4,0.467,0.867,0.533,0.344444444444444,0.366666666666667,0.7,0.355555555555556,"Greece"
"41","HRV",2016,1,0.857,0.857,0.643,0.821,0.143,0.143,0.357,0.179,0.0666666666666667,0.0666666666666667,0.293859649122807,0.0885964912280702,"Croatia"
"42","HRV",2016,2,0.821,0.75,0.571,0.679,0.179,0.25,0.429,0.321,0.1,0.2,0.315789473684211,0.160526315789474,"Croatia"
"43","HRV",2016,3,0.714,0.643,0.536,0.571,0.286,0.357,0.464,0.429,0.205263157894737,0.349122807017544,0.326315789473684,0.221052631578947,"Croatia"
"44","HRV",2016,4,0.643,0.607,0.536,0.571,0.357,0.393,0.464,0.429,0.593859649122807,0.604385964912281,0.326315789473684,0.248245614035088,"Croatia"
"45","HUN",2016,1,0.75,0.75,0.75,0.714,0.25,0.25,0.25,0.286,0.305,0.305,0.655,0.371666666666667,"Hungary"
"46","HUN",2016,2,0.714,0.714,0.679,0.679,0.286,0.286,0.321,0.321,0.438333333333333,0.438333333333333,0.843333333333333,0.615,"Hungary"
"47","HUN",2016,3,0.75,0.75,0.607,0.643,0.25,0.25,0.393,0.357,0.405,0.405,0.936666666666667,0.813333333333333,"Hungary"
"48","HUN",2016,4,0.714,0.714,0.607,0.571,0.286,0.286,0.393,0.429,0.683333333333333,0.683333333333333,0.93,0.995,"Hungary"
"49","IRL",2016,1,0.846,0.827,0.75,0.865,0.154,0.173,0.25,0.135,0.19,0.21,0.512631578947368,0.152631578947368,"Ireland"
"50","IRL",2016,2,0.808,0.769,0.731,0.75,0.192,0.231,0.269,0.25,0.32,0.35,0.535263157894737,0.310263157894737,"Ireland"
"51","IRL",2016,3,0.731,0.75,0.712,0.712,0.269,0.25,0.288,0.288,0.462631578947368,0.412631578947368,0.557894736842105,0.420526315789474,"Ireland"
"52","IRL",2016,4,0.731,0.75,0.673,0.673,0.269,0.25,0.327,0.327,0.5,0.475,0.585526315789474,0.508421052631579,"Ireland"
"53","ISR",2016,1,0.885,0.885,0.712,0.827,0.115,0.115,0.288,0.173,0.35,0.35,1.85192307692308,0.594230769230769,"Israel"
"54","ISR",2016,2,0.846,0.827,0.712,0.75,0.154,0.173,0.288,0.25,0.75,0.783333333333333,1.87628205128205,1.08012820512821,"Israel"
"55","ISR",2016,3,0.827,0.827,0.692,0.712,0.173,0.173,0.308,0.288,0.852564102564103,0.852564102564103,1.94487179487179,1.55192307692308,"Israel"
"56","ISR",2016,4,0.808,0.808,0.654,0.673,0.192,0.192,0.346,0.327,1.18589743589744,1.18589743589744,1.9775641025641,1.95384615384615,"Israel"
"57","ITA",2016,1,0.545,0.5,0.364,0.455,0.455,0.5,0.636,0.545,0.481666666666667,0.598333333333333,0.768333333333333,0.495,"Italy"
"58","ITA",2016,2,0.318,0.409,0.318,0.227,0.682,0.591,0.682,0.773,0.708333333333333,0.668333333333333,0.96,0.738333333333333,"Italy"
"59","ITA",2016,3,0.455,0.455,0.182,0.182,0.545,0.545,0.818,0.818,0.573333333333333,0.873333333333333,1.04166666666667,0.985,"Italy"
"60","ITA",2016,4,0.273,0.273,0.091,0.136,0.727,0.727,0.909,0.864,1.015,1.015,1.22166666666667,1.18833333333333,"Italy"
"61","KGZ",2016,1,0.44,0.48,0.28,0.32,0.56,0.52,0.72,0.68,1.78787878787879,2.08787878787879,2.56848484848485,1.14484848484849,"Kyrgyzstan"
"62","KGZ",2016,2,0.32,0.32,0.24,0.12,0.68,0.68,0.76,0.88,1.90606060606061,1.90606060606061,2.60181818181818,1.73333333333333,"Kyrgyzstan"
"63","KGZ",2016,3,0.28,0.36,0.24,0.24,0.72,0.64,0.76,0.76,2.12606060606061,2.18363636363636,2.60181818181818,2.16606060606061,"Kyrgyzstan"
"64","KGZ",2016,4,0.24,0.24,0.12,0.2,0.76,0.76,0.88,0.8,2.36666666666667,2.36666666666667,2.75090909090909,2.46060606060606,"Kyrgyzstan"
"65","LTU",2016,1,0.885,0.904,0.865,0.865,0.115,0.096,0.135,0.135,0.55,0.3,1,0.552222222222222,"Lithuania"
"66","LTU",2016,2,0.865,0.865,0.865,0.827,0.135,0.135,0.135,0.173,0.752222222222222,0.752222222222222,1,0.737777777777778,"Lithuania"
"67","LTU",2016,3,0.846,0.846,0.865,0.827,0.154,0.154,0.135,0.173,0.871111111111111,0.871111111111111,1,0.827777777777778,"Lithuania"
"68","LTU",2016,4,0.808,0.808,0.865,0.788,0.192,0.192,0.135,0.212,0.908888888888889,0.908888888888889,1,1.06555555555556,"Lithuania"
"69","LUX",2016,1,0.643,0.643,0.679,0.571,0.357,0.357,0.321,0.429,0.61921568627451,0.57921568627451,0.686666666666667,0.447647058823529,"Luxembourg"
"70","LUX",2016,2,0.607,0.643,0.607,0.643,0.393,0.357,0.393,0.357,0.812549019607843,0.725882352941176,0.73843137254902,0.550980392156863,"Luxembourg"
"71","LUX",2016,3,0.679,0.679,0.714,0.5,0.321,0.321,0.286,0.5,0.712549019607843,0.77921568627451,0.703333333333333,0.736862745098039,"Luxembourg"
"72","LUX",2016,4,0.571,0.571,0.643,0.5,0.429,0.429,0.357,0.5,0.885882352941177,0.885882352941177,0.69921568627451,0.975294117647059,"Luxembourg"
"73","LVA",2016,1,0.821,0.821,0.714,0.75,0.179,0.179,0.286,0.25,0.325,0.4,0.6,0.271666666666667,"Latvia"
"74","LVA",2016,2,0.786,0.75,0.714,0.75,0.214,0.25,0.286,0.25,0.616666666666667,0.641666666666667,0.6,0.451666666666667,"Latvia"
"75","LVA",2016,3,0.75,0.786,0.714,0.714,0.25,0.214,0.286,0.286,0.591666666666667,0.583333333333333,0.6,0.52,"Latvia"
"76","LVA",2016,4,0.714,0.714,0.714,0.571,0.286,0.286,0.286,0.429,0.68,0.608333333333333,0.6,0.6,"Latvia"
"77","MAR",2016,1,0.872,0.894,0.617,0.894,0.128,0.106,0.383,0.106,0.133162393162393,0.125470085470085,0.305128205128205,0.127606837606838,"Morocco"
"78","MAR",2016,2,0.787,0.723,0.638,0.809,0.213,0.277,0.362,0.191,0.156495726495726,0.173162393162393,0.29957264957265,0.155213675213675,"Morocco"
"79","MAR",2016,3,0.723,0.638,0.66,0.723,0.277,0.362,0.34,0.277,0.172051282051282,0.196495726495726,0.294017094017094,0.182820512820513,"Morocco"
"80","MAR",2016,4,0.702,0.702,0.66,0.638,0.298,0.298,0.34,0.362,0.176495726495726,0.176495726495726,0.300683760683761,0.21042735042735,"Morocco"
"81","MDA",2016,1,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"82","MDA",2016,2,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"83","MDA",2016,3,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"84","MDA",2016,4,1,1,1,1,0,0,0,0,0,0,0,0,"Moldova"
"85","MLT",2016,1,0.815,0.815,0.778,0.778,0.185,0.185,0.222,0.222,0.179545454545455,0.179545454545455,0.304545454545455,0.184090909090909,"Malta"
"86","MLT",2016,2,0.778,0.778,0.778,0.704,0.222,0.222,0.222,0.296,0.309090909090909,0.309090909090909,0.304545454545455,0.313636363636364,"Malta"
"87","MLT",2016,3,0.815,0.815,0.778,0.704,0.185,0.185,0.222,0.296,0.3,0.3,0.304545454545455,0.313636363636364,"Malta"
"88","MLT",2016,4,0.852,0.852,0.778,0.778,0.148,0.148,0.222,0.222,0.275,0.275,0.304545454545455,0.284090909090909,"Malta"
"89","NLD",2016,1,0.558,0.5,0.442,0.5,0.442,0.5,0.558,0.5,0.804545454545454,1.00246212121212,2.25511363636364,0.954545454545454,"Netherlands"
"90","NLD",2016,2,0.462,0.5,0.442,0.5,0.538,0.5,0.558,0.5,1.00662878787879,0.947537878787879,2.46344696969697,0.983712121212121,"Netherlands"
"91","NLD",2016,3,0.404,0.404,0.346,0.308,0.596,0.596,0.654,0.692,1.14337121212121,1.77045454545455,2.36988636363636,1.40265151515152,"Netherlands"
"92","NLD",2016,4,0.423,0.404,0.365,0.288,0.577,0.596,0.635,0.712,1.15662878787879,1.58162878787879,2.15246212121212,1.37064393939394,"Netherlands"
"93","NOR",2016,1,0.321,0.393,0.107,0.429,0.679,0.607,0.893,0.571,0.634761904761905,0.711428571428571,2.1,0.490476190476191,"Norway"
"94","NOR",2016,2,0.429,0.321,0.107,0.25,0.571,0.679,0.893,0.75,0.814285714285714,0.974285714285714,2.1,0.748095238095238,"Norway"
"95","NOR",2016,3,0.321,0.286,0.107,0.214,0.679,0.714,0.893,0.786,0.97047619047619,1.10857142857143,2.1,1.06571428571429,"Norway"
"96","NOR",2016,4,0.321,0.286,0.107,0.179,0.679,0.714,0.893,0.821,0.824761904761905,0.931428571428571,2.1,1.34761904761905,"Norway"
"97","POL",2016,1,0.696,0.717,0.283,0.63,0.304,0.283,0.717,0.37,0.312121212121212,0.34469696969697,1.36212121212121,0.333434343434343,"Poland"
"98","POL",2016,2,0.587,0.587,0.261,0.457,0.413,0.413,0.739,0.543,0.590959595959596,0.632979797979798,1.46712121212121,0.588636363636364,"Poland"
"99","POL",2016,3,0.565,0.609,0.174,0.348,0.435,0.391,0.826,0.652,0.658585858585859,0.629292929292929,1.55853535353535,0.843838383838384,"Poland"
"100","POL",2016,4,0.609,0.587,0.152,0.326,0.391,0.413,0.848,0.674,0.593535353535353,0.604646464646465,1.60949494949495,0.988636363636364,"Poland"
"101","PRT",2016,1,0.731,0.731,0.712,0.75,0.269,0.269,0.288,0.25,0.833333333333333,1.15833333333333,1.55,0.797222222222222,"Portugal"
"102","PRT",2016,2,0.75,0.712,0.692,0.75,0.25,0.288,0.308,0.25,0.975,1.46666666666667,1.54166666666667,1.06388888888889,"Portugal"
"103","PRT",2016,3,0.692,0.692,0.673,0.673,0.308,0.308,0.327,0.327,1.15833333333333,1.55833333333333,1.65277777777778,1.19722222222222,"Portugal"
"104","PRT",2016,4,0.712,0.712,0.673,0.654,0.288,0.288,0.327,0.346,1.61666666666667,1.61666666666667,1.63055555555556,1.33055555555556,"Portugal"
"105","ROU",2016,1,0.865,0.865,0.885,0.885,0.135,0.135,0.115,0.115,0.102173913043478,0.104347826086957,0.1,0.0565217391304348,"Romania"
"106","ROU",2016,2,0.865,0.865,0.885,0.885,0.135,0.135,0.115,0.115,0.104347826086957,0.104347826086957,0.1,0.0565217391304348,"Romania"
"107","ROU",2016,3,0.865,0.865,0.885,0.846,0.135,0.135,0.115,0.154,0.104347826086957,0.104347826086957,0.1,0.0753623188405797,"Romania"
"108","ROU",2016,4,0.846,0.865,0.885,0.846,0.154,0.135,0.115,0.154,0.106521739130435,0.104347826086957,0.1,0.0753623188405797,"Romania"
"109","SRB",2016,1,0.562,0.5,0.5,0.625,0.438,0.5,0.5,0.375,0.454285714285714,0.568571428571429,0.962857142857143,0.498571428571429,"Serbia"
"110","SRB",2016,2,0.562,0.562,0.5,0.312,0.438,0.438,0.5,0.688,0.954285714285714,0.954285714285714,0.957142857142857,0.917142857142857,"Serbia"
"111","SRB",2016,3,0.625,0.625,0.375,0.312,0.375,0.375,0.625,0.688,0.904285714285714,0.904285714285714,0.985714285714286,1.01714285714286,"Serbia"
"112","SRB",2016,4,0.562,0.562,0.375,0.375,0.438,0.438,0.625,0.625,0.918571428571428,0.918571428571428,1.00571428571429,1.05285714285714,"Serbia"
"113","SVK",2016,1,0.854,0.878,0.805,0.829,0.146,0.122,0.195,0.171,0.144360902255639,0.139097744360902,0.201503759398496,0.151503759398496,"Slovakia"
"114","SVK",2016,2,0.78,0.805,0.732,0.707,0.22,0.195,0.268,0.293,0.246240601503759,0.242857142857143,0.224436090225564,0.197744360902256,"Slovakia"
"115","SVK",2016,3,0.732,0.829,0.683,0.659,0.268,0.171,0.317,0.341,0.192481203007519,0.171428571428571,0.315037593984962,0.31015037593985,"Slovakia"
"116","SVK",2016,4,0.683,0.756,0.585,0.561,0.317,0.244,0.415,0.439,0.269172932330827,0.253383458646617,0.346992481203008,0.342105263157895,"Slovakia"
"117","SVN",2016,1,0.865,0.865,0.769,0.885,0.135,0.135,0.231,0.115,0.452173913043478,0.402173913043478,0.619565217391304,0.304347826086957,"Slovenia"
"118","SVN",2016,2,0.846,0.846,0.75,0.885,0.154,0.154,0.25,0.115,0.354347826086957,0.354347826086957,0.628260869565217,0.260869565217391,"Slovenia"
"119","SVN",2016,3,0.865,0.865,0.75,0.827,0.135,0.135,0.25,0.173,0.460869565217391,0.460869565217391,0.628260869565217,0.465217391304348,"Slovenia"
"120","SVN",2016,4,0.846,0.827,0.75,0.808,0.154,0.173,0.25,0.192,0.510869565217391,0.417391304347826,0.628260869565217,0.521739130434783,"Slovenia"
"121","TUR",2016,1,0.667,0.333,0.267,0.733,0.333,0.667,0.733,0.267,0.3,0.357142857142857,0.6,0.25,"Turkey"
"122","TUR",2016,2,0.2,0.267,0.467,0.4,0.8,0.733,0.533,0.6,0.385714285714286,0.335714285714286,0.535714285714286,0.528571428571429,"Turkey"
"123","TUR",2016,3,0.333,0.267,0.4,0.333,0.667,0.733,0.6,0.667,0.314285714285714,0.314285714285714,0.671428571428571,0.592857142857143,"Turkey"
"124","TUR",2016,4,0.267,0.2,0.2,0.2,0.733,0.8,0.8,0.8,0.485714285714286,0.45,0.921428571428571,0.671428571428571,"Turkey"
"125","USA",2016,1,0.673,0.673,0.462,0.692,0.327,0.327,0.538,0.308,0.498269230769231,0.453653846153846,0.850576923076923,0.340576923076923,"USA"
"126","USA",2016,2,0.596,0.538,0.462,0.558,0.404,0.462,0.538,0.442,0.843173076923077,0.762884615384615,0.849134615384615,0.486153846153846,"USA"
"127","USA",2016,3,0.558,0.596,0.442,0.423,0.442,0.404,0.558,0.577,0.731634615384615,0.647019230769231,0.888076923076923,0.674423076923077,"USA"
"128","USA",2016,4,0.577,0.596,0.365,0.308,0.423,0.404,0.635,0.692,0.703269230769231,0.676346153846154,0.768269230769231,0.818557692307692,"USA"
