"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"51","IRL",2015,3,0.849,0.849,0.849,0.792,0.151,0.151,0.151,0.208,0.359468438538206,0.359468438538206,0.521428571428571,0.395016611295681,"Ireland"
"52","IRL",2015,4,0.849,0.849,0.83,0.774,0.151,0.151,0.17,0.226,0.371428571428571,0.371428571428571,0.57375415282392,0.399667774086379,"Ireland"
"53","ISR",2015,1,0.83,0.83,0.774,0.811,0.17,0.17,0.226,0.189,0.302564102564103,0.352564102564103,0.6,0.302564102564103,"Israel"
"54","ISR",2015,2,0.83,0.811,0.755,0.717,0.17,0.189,0.245,0.283,0.352564102564103,0.402564102564103,0.575,0.532692307692308,"Israel"
"55","ISR",2015,3,0.811,0.811,0.755,0.679,0.189,0.189,0.245,0.321,0.525,0.625,0.580128205128205,0.690384615384615,"Israel"
"56","ISR",2015,4,0.774,0.792,0.717,0.66,0.226,0.208,0.283,0.34,0.575,0.55,0.805128205128205,0.773076923076923,"Israel"
"57","ITA",2015,1,0.667,0.667,0.625,0.5,0.333,0.333,0.375,0.5,0.45,0.383333333333333,0.883333333333333,0.52,"Italy"
"58","ITA",2015,2,0.542,0.542,0.5,0.333,0.458,0.458,0.5,0.667,0.533333333333333,0.533333333333333,1.12666666666667,0.986666666666667,"Italy"
"59","ITA",2015,3,0.625,0.583,0.417,0.333,0.375,0.417,0.583,0.667,0.36,0.41,1.41,1.32333333333333,"Italy"
"60","ITA",2015,4,0.625,0.542,0.375,0.25,0.375,0.458,0.625,0.75,0.5,0.56,1.63666666666667,1.61,"Italy"
"61","KGZ",2015,1,0.594,0.656,0.594,0.625,0.406,0.344,0.406,0.375,0.53203007518797,0.501954887218045,0.590526315789474,0.477744360902256,"Kyrgyzstan"
"62","KGZ",2015,2,0.594,0.656,0.594,0.562,0.406,0.344,0.406,0.438,0.570526315789474,0.541954887218045,0.605263157894737,0.428270676691729,"Kyrgyzstan"
"63","KGZ",2015,3,0.562,0.562,0.594,0.688,0.438,0.438,0.406,0.312,0.570526315789474,0.590526315789474,0.58,0.373383458646617,"Kyrgyzstan"
"64","KGZ",2015,4,0.625,0.562,0.625,0.594,0.375,0.438,0.375,0.406,0.556691729323308,0.581503759398496,0.54,0.538195488721805,"Kyrgyzstan"
"65","LTU",2015,1,0.925,0.887,0.868,0.925,0.075,0.113,0.132,0.075,0.142127659574468,0.282127659574468,0.302127659574468,0.142127659574468,"Lithuania"
"66","LTU",2015,2,0.925,0.906,0.868,0.887,0.075,0.094,0.132,0.113,0.142127659574468,0.262127659574468,0.302127659574468,0.164255319148936,"Lithuania"
"67","LTU",2015,3,0.887,0.887,0.906,0.868,0.113,0.113,0.094,0.132,0.264255319148936,0.264255319148936,0.28,0.168510638297872,"Lithuania"
"68","LTU",2015,4,0.849,0.887,0.906,0.849,0.151,0.113,0.094,0.151,0.304255319148936,0.3,0.28,0.27063829787234,"Lithuania"
"69","LUX",2015,1,0.69,0.69,0.621,0.655,0.31,0.31,0.379,0.345,0.916666666666667,0.916666666666667,1.76666666666667,0.905555555555556,"Luxembourg"
"70","LUX",2015,2,0.69,0.69,0.621,0.552,0.31,0.31,0.379,0.448,1.21666666666667,1.18333333333333,1.83333333333333,1.09444444444444,"Luxembourg"
"71","LUX",2015,3,0.586,0.655,0.655,0.586,0.414,0.345,0.345,0.414,1.71666666666667,1.4,1.83333333333333,1.43888888888889,"Luxembourg"
"72","LUX",2015,4,0.621,0.621,0.69,0.483,0.379,0.379,0.31,0.517,1.56666666666667,1.51666666666667,1.83333333333333,2.11666666666667,"Luxembourg"
"73","LVA",2015,1,0.69,0.724,0.69,0.724,0.31,0.276,0.31,0.276,1.18,1.175,2.7,1.555,"Latvia"
"74","LVA",2015,2,0.69,0.69,0.69,0.655,0.31,0.31,0.31,0.345,2.1,2.1,2.7,2.435,"Latvia"
"75","LVA",2015,3,0.759,0.724,0.69,0.586,0.241,0.276,0.31,0.414,2.25,2.325,2.7,2.965,"Latvia"
"76","LVA",2015,4,0.724,0.724,0.69,0.552,0.276,0.276,0.31,0.448,2.625,2.625,2.7,3.05,"Latvia"
"77","MAR",2015,1,0.904,0.827,0.75,0.885,0.096,0.173,0.25,0.115,0.0642857142857143,0.142142857142857,0.172857142857143,0.0635714285714286,"Morocco"
"78","MAR",2015,2,0.75,0.731,0.788,0.827,0.25,0.269,0.212,0.173,0.167857142857143,0.172857142857143,0.193571428571429,0.0785714285714286,"Morocco"
"79","MAR",2015,3,0.712,0.712,0.769,0.731,0.288,0.288,0.231,0.269,0.177857142857143,0.177857142857143,0.238571428571429,0.127857142857143,"Morocco"
"80","MAR",2015,4,0.769,0.712,0.712,0.635,0.231,0.288,0.288,0.365,0.162857142857143,0.177857142857143,0.293571428571429,0.177142857142857,"Morocco"
"81","MDA",2015,1,0.925,0.943,0.943,0.962,0.075,0.0570000000000001,0.0570000000000001,0.038,0.102,0.1,0.1,0.0353333333333333,"Moldova"
"82","MDA",2015,2,0.943,0.943,0.943,0.925,0.0570000000000001,0.0570000000000001,0.0570000000000001,0.075,0.1,0.1,0.1,0.0706666666666667,"Moldova"
"83","MDA",2015,3,0.943,0.943,0.943,0.887,0.0570000000000001,0.0570000000000001,0.0570000000000001,0.113,0.1,0.1,0.1,0.106,"Moldova"
"84","MDA",2015,4,0.943,0.943,0.943,0.887,0.0570000000000001,0.0570000000000001,0.0570000000000001,0.113,0.1,0.1,0.1,0.106,"Moldova"
"85","MLT",2015,1,0.957,0.957,0.957,0.913,0.043,0.043,0.043,0.087,0.8,0.8,0.8,0.836363636363636,"Malta"
"86","MLT",2015,2,0.957,0.957,0.957,0.913,0.043,0.043,0.043,0.087,0.8,0.8,0.8,0.836363636363636,"Malta"
"87","MLT",2015,3,0.957,0.957,0.913,0.913,0.043,0.043,0.087,0.087,0.8,0.8,0.804545454545454,0.836363636363636,"Malta"
"88","MLT",2015,4,0.957,0.957,0.913,0.913,0.043,0.043,0.087,0.087,0.8,0.8,0.804545454545454,0.836363636363636,"Malta"
"89","NLD",2015,1,0.547,0.472,0.415,0.528,0.453,0.528,0.585,0.472,1.19621212121212,1.26348484848485,3.23257575757576,1.00454545454545,"Netherlands"
"90","NLD",2015,2,0.415,0.415,0.491,0.377,0.585,0.585,0.509,0.623,1.37606060606061,1.27606060606061,3.38515151515152,1.35606060606061,"Netherlands"
"91","NLD",2015,3,0.509,0.509,0.396,0.321,0.491,0.491,0.604,0.679,1.16363636363636,1.24030303030303,3.52424242424242,1.60757575757576,"Netherlands"
"92","NLD",2015,4,0.472,0.491,0.377,0.415,0.528,0.509,0.623,0.585,1.38515151515152,1.24772727272727,3.59681818181818,1.78651515151515,"Netherlands"
"93","NOR",2015,1,0.414,0.483,0.103,0.517,0.586,0.517,0.897,0.483,1.43910256410256,2.84102564102564,3.6,0.889102564102564,"Norway"
"94","NOR",2015,2,0.483,0.448,0.103,0.448,0.517,0.552,0.897,0.552,2.03141025641026,3.42307692307692,3.6,1.4724358974359,"Norway"
"95","NOR",2015,3,0.414,0.448,0.103,0.379,0.586,0.552,0.897,0.621,2.27051282051282,3.42307692307692,3.6,1.97948717948718,"Norway"
"96","NOR",2015,4,0.414,0.414,0.103,0.31,0.586,0.586,0.897,0.69,2.6801282051282,3.48076923076923,3.6,2.31794871794872,"Norway"
"97","POL",2015,1,0.511,0.532,0.191,0.638,0.489,0.468,0.809,0.362,0.384294871794872,0.350961538461538,1.07948717948718,0.276602564102564,"Poland"
"98","POL",2015,2,0.468,0.468,0.17,0.511,0.532,0.532,0.83,0.489,0.504294871794872,0.450128205128205,1.11846153846154,0.44448717948718,"Poland"
"99","POL",2015,3,0.489,0.489,0.17,0.362,0.511,0.511,0.83,0.638,0.52224358974359,0.508717948717949,1.10051282051282,0.539038461538462,"Poland"
"100","POL",2015,4,0.468,0.447,0.191,0.277,0.532,0.553,0.809,0.723,0.528205128205128,0.613846153846154,1.15179487179487,0.681282051282051,"Poland"
"101","PRT",2015,1,0.83,0.83,0.83,0.811,0.17,0.17,0.17,0.189,1.6,1.85,2.85,1.48565891472868,"Portugal"
"102","PRT",2015,2,0.83,0.83,0.83,0.774,0.17,0.17,0.17,0.226,1.9,1.9,2.86666666666667,2.4593023255814,"Portugal"
"103","PRT",2015,3,0.811,0.811,0.792,0.755,0.189,0.189,0.208,0.245,2.2046511627907,2.2046511627907,3.10232558139535,3.33062015503876,"Portugal"
"104","PRT",2015,4,0.83,0.83,0.792,0.736,0.17,0.17,0.208,0.264,2.75,2.75,3.17364341085271,3.78992248062016,"Portugal"
"105","ROU",2015,1,0.896,0.917,0.854,0.896,0.104,0.083,0.146,0.104,0.252439024390244,0.25,0.6,0.202439024390244,"Romania"
"106","ROU",2015,2,0.896,0.875,0.854,0.854,0.104,0.125,0.146,0.146,0.375,0.525,0.6,0.304878048780488,"Romania"
"107","ROU",2015,3,0.854,0.854,0.854,0.812,0.146,0.146,0.146,0.188,0.452439024390244,0.452439024390244,0.6,0.359756097560976,"Romania"
"108","ROU",2015,4,0.854,0.854,0.854,0.792,0.146,0.146,0.146,0.208,0.304878048780488,0.375,0.6,0.442073170731707,"Romania"
"109","SRB",2015,1,0.652,0.696,0.565,0.696,0.348,0.304,0.435,0.304,0.186190476190476,0.176190476190476,0.448571428571429,0.12952380952381,"Serbia"
"110","SRB",2015,2,0.652,0.652,0.478,0.478,0.348,0.348,0.522,0.522,0.357619047619048,0.357619047619048,0.401904761904762,0.23047619047619,"Serbia"
"111","SRB",2015,3,0.609,0.609,0.435,0.391,0.391,0.391,0.565,0.609,0.334285714285714,0.334285714285714,0.411904761904762,0.297142857142857,"Serbia"
"112","SRB",2015,4,0.565,0.565,0.391,0.348,0.435,0.435,0.609,0.652,0.415238095238095,0.415238095238095,0.421904761904762,0.378095238095238,"Serbia"
"113","SVK",2015,1,0.731,0.712,0.769,0.712,0.269,0.288,0.231,0.288,1.786,2.186,1.916,1.87022222222222,"Slovakia"
"114","SVK",2015,2,0.731,0.731,0.712,0.596,0.269,0.269,0.288,0.404,1.66133333333333,1.628,1.86444444444444,1.99333333333333,"Slovakia"
"115","SVK",2015,3,0.75,0.731,0.654,0.538,0.25,0.269,0.346,0.462,1.528,1.532,1.87955555555556,1.78466666666667,"Slovakia"
"116","SVK",2015,4,0.673,0.712,0.635,0.558,0.327,0.288,0.365,0.442,1.93755555555556,1.86533333333333,1.98911111111111,2.23311111111111,"Slovakia"
"117","SVN",2015,1,0.849,0.849,0.774,0.774,0.151,0.151,0.226,0.226,0.6925,0.6925,1.48,0.6025,"Slovenia"
"118","SVN",2015,2,0.792,0.792,0.755,0.774,0.208,0.208,0.245,0.226,0.8525,0.8325,1.49,0.825,"Slovenia"
"119","SVN",2015,3,0.811,0.792,0.774,0.736,0.189,0.208,0.226,0.264,1,0.8225,1.48,1.1525,"Slovenia"
"120","SVN",2015,4,0.792,0.792,0.755,0.698,0.208,0.208,0.245,0.302,1.12,1.17,1.49,1.345,"Slovenia"
"121","TUR",2015,1,0.625,0.625,0.475,0.625,0.375,0.375,0.525,0.375,0.335416666666667,0.333630952380952,0.58125,0.304464285714286,"Turkey"
"122","TUR",2015,2,0.575,0.575,0.475,0.425,0.425,0.425,0.525,0.575,0.373214285714286,0.373214285714286,0.58125,0.439880952380952,"Turkey"
"123","TUR",2015,3,0.55,0.525,0.4,0.425,0.45,0.475,0.6,0.575,0.530952380952381,0.486904761904762,0.683630952380952,0.530952380952381,"Turkey"
"124","TUR",2015,4,0.475,0.475,0.425,0.375,0.525,0.525,0.575,0.625,0.600892857142857,0.646130952380952,0.695833333333333,0.615476190476191,"Turkey"
"125","USA",2015,1,0.774,0.774,0.585,0.755,0.226,0.226,0.415,0.245,0.318986928104575,0.318986928104575,1.62274509803922,0.365098039215686,"USA"
"126","USA",2015,2,0.66,0.66,0.585,0.623,0.34,0.34,0.415,0.377,0.395098039215686,0.395098039215686,1.77052287581699,0.437418300653595,"USA"
"127","USA",2015,3,0.679,0.698,0.604,0.491,0.321,0.302,0.396,0.509,0.496862745098039,0.452745098039216,1.8116339869281,0.828071895424837,"USA"
"128","USA",2015,4,0.698,0.717,0.566,0.34,0.302,0.283,0.434,0.66,0.521862745098039,0.421862745098039,1.86830065359477,1.04761437908497,"USA"
