"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"1","ARM",2015,1,0.805,0.829,0.829,0.756,0.195,0.171,0.171,0.244,0.0915966386554622,0.0773109243697479,0.1,0.0861344537815126,"Armenia"
"2","ARM",2015,2,0.878,0.854,0.829,0.854,0.122,0.146,0.171,0.146,0.0714285714285714,0.0857142857142857,0.1,0.0516806722689076,"Armenia"
"3","ARM",2015,3,0.829,0.854,0.829,0.756,0.171,0.146,0.171,0.244,0.0886554621848739,0.0857142857142857,0.1,0.0861344537815126,"Armenia"
"4","ARM",2015,4,0.829,0.854,0.829,0.805,0.171,0.146,0.171,0.195,0.0886554621848739,0.0857142857142857,0.1,0.0689075630252101,"Armenia"
"5","AUT",2015,1,0.312,0.25,0.188,0.562,0.688,0.75,0.812,0.438,0.435714285714286,0.45,1.13571428571429,0.564285714285714,"Austria"
"6","AUT",2015,2,0.188,0.125,0.188,0.438,0.812,0.875,0.812,0.562,0.835714285714286,0.85,1.42142857142857,1.01428571428571,"Austria"
"7","AUT",2015,3,0.188,0.125,0.25,0.438,0.812,0.875,0.75,0.562,1.13571428571429,1.15,1.40714285714286,1.26428571428571,"Austria"
"8","AUT",2015,4,0.188,0.125,0.188,0.312,0.812,0.875,0.812,0.688,1.13571428571429,1.2,1.80714285714286,1.52857142857143,"Austria"
"9","BEL",2015,1,0.83,0.83,0.792,0.83,0.17,0.17,0.208,0.17,1.46666666666667,1.46666666666667,3.06899224806202,1.16899224806202,"Belgium"
"10","BEL",2015,2,0.83,0.83,0.792,0.811,0.17,0.17,0.208,0.189,1.65,1.85,3.06899224806202,2.1546511627907,"Belgium"
"11","BEL",2015,3,0.811,0.811,0.792,0.755,0.189,0.189,0.208,0.245,2.16666666666667,2.16666666666667,3.06899224806202,2.80697674418605,"Belgium"
"12","BEL",2015,4,0.849,0.811,0.774,0.736,0.151,0.189,0.226,0.264,2.36666666666667,2.4,3.01162790697674,3.08062015503876,"Belgium"
"13","CHE",2015,1,0.868,0.868,0.811,0.774,0.132,0.132,0.189,0.226,0.633333333333333,0.583333333333333,1.93333333333333,0.819105691056911,"Switzerland"
"14","CHE",2015,2,0.868,0.868,0.83,0.736,0.132,0.132,0.17,0.264,0.983333333333333,0.983333333333333,1.88577235772358,1.43821138211382,"Switzerland"
"15","CHE",2015,3,0.811,0.849,0.755,0.736,0.189,0.151,0.245,0.264,1.53577235772358,1.45243902439024,2.07154471544715,2.00975609756098,"Switzerland"
"16","CHE",2015,4,0.83,0.849,0.736,0.698,0.17,0.151,0.264,0.302,1.48577235772358,1.45243902439024,2.34065040650407,2.53373983739837,"Switzerland"
"17","CZE",2015,1,0.792,0.792,0.736,0.792,0.208,0.208,0.264,0.208,0.975,0.975,3.25487804878049,1.20243902439024,"Czech Republic"
"18","CZE",2015,2,0.774,0.792,0.736,0.755,0.226,0.208,0.264,0.245,1.5,1.525,3.25487804878049,2.25487804878049,"Czech Republic"
"19","CZE",2015,3,0.792,0.792,0.717,0.717,0.208,0.208,0.283,0.283,1.45,1.45,3.30975609756098,3.15731707317073,"Czech Republic"
"20","CZE",2015,4,0.811,0.811,0.755,0.717,0.189,0.189,0.245,0.283,2.275,2.275,3.33231707317073,3.63719512195122,"Czech Republic"
"21","DNK",2015,1,0.7,0.7,0.667,0.8,0.3,0.3,0.333,0.2,0.140526315789474,0.143859649122807,0.179649122807018,0.0805263157894737,"Denmark"
"22","DNK",2015,2,0.667,0.667,0.633,0.7,0.333,0.333,0.367,0.3,0.162456140350877,0.160526315789474,0.191052631578947,0.127719298245614,"Denmark"
"23","DNK",2015,3,0.633,0.667,0.7,0.6,0.367,0.333,0.3,0.4,0.23719298245614,0.231929824561404,0.183859649122807,0.174912280701754,"Denmark"
"24","DNK",2015,4,0.667,0.7,0.633,0.533,0.333,0.3,0.367,0.467,0.231929824561404,0.226666666666667,0.205789473684211,0.216842105263158,"Denmark"
"25","ESP",2015,1,0.724,0.759,0.655,0.621,0.276,0.241,0.345,0.379,0.972222222222222,1.03888888888889,2.21666666666667,1.37222222222222,"Spain"
"26","ESP",2015,2,0.621,0.655,0.69,0.586,0.379,0.345,0.31,0.414,1.95555555555556,1.77222222222222,2.16666666666667,2.44444444444444,"Spain"
"27","ESP",2015,3,0.621,0.621,0.655,0.517,0.379,0.379,0.345,0.483,1.82222222222222,1.82222222222222,2.41666666666667,3.37222222222222,"Spain"
"28","ESP",2015,4,0.655,0.655,0.586,0.483,0.345,0.345,0.414,0.517,2.28888888888889,2.28888888888889,2.95555555555556,3.88888888888889,"Spain"
"29","EST",2015,1,0.472,0.528,0.396,0.509,0.528,0.472,0.604,0.491,0.720885780885781,0.900885780885781,1.21320512820513,0.588962703962704,"Estonia"
"30","EST",2015,2,0.434,0.453,0.434,0.472,0.566,0.547,0.566,0.528,0.936270396270396,0.937179487179487,1.33948717948718,0.830745920745921,"Estonia"
"31","EST",2015,3,0.491,0.472,0.396,0.434,0.509,0.528,0.604,0.566,1.21782051282051,1.15782051282051,1.52551282051282,1.20714452214452,"Estonia"
"32","EST",2015,4,0.566,0.547,0.358,0.434,0.434,0.453,0.642,0.566,1.23679487179487,1.21846153846154,1.57717948717949,1.45559440559441,"Estonia"
"33","GEO",2015,1,0.774,0.774,0.566,0.792,0.226,0.226,0.434,0.208,0.142261904761905,0.242261904761905,0.18452380952381,0.138690476190476,"Georgia"
"34","GEO",2015,2,0.736,0.755,0.566,0.736,0.264,0.245,0.434,0.264,0.250595238095238,0.246428571428571,0.28452380952381,0.15,"Georgia"
"35","GEO",2015,3,0.736,0.736,0.509,0.679,0.264,0.264,0.491,0.321,0.249404761904762,0.249404761904762,0.296428571428571,0.161309523809524,"Georgia"
"36","GEO",2015,4,0.755,0.736,0.491,0.698,0.245,0.264,0.509,0.302,0.146428571428571,0.150595238095238,0.300595238095238,0.257142857142857,"Georgia"
"37","GRC",2015,1,0.559,0.5,0.382,0.618,0.441,0.5,0.618,0.382,2.21602564102564,2.71602564102564,3.3,0.941025641025641,"Greece"
"38","GRC",2015,2,0.412,0.441,0.382,0.441,0.588,0.559,0.618,0.559,2.38205128205128,2.55,3.3,1.52371794871795,"Greece"
"39","GRC",2015,3,0.441,0.382,0.382,0.471,0.559,0.618,0.618,0.529,2.42435897435897,2.9,3.3,1.87307692307692,"Greece"
"40","GRC",2015,4,0.471,0.412,0.382,0.353,0.529,0.588,0.618,0.647,2.51538461538462,3.08333333333333,3.3,2.16410256410256,"Greece"
"41","HRV",2015,1,0.667,0.63,0.556,0.63,0.333,0.37,0.444,0.37,1.58333333333333,1.68333333333333,3.55,1.20666666666667,"Croatia"
"42","HRV",2015,2,0.63,0.593,0.593,0.519,0.37,0.407,0.407,0.481,2.85,2.58333333333333,3.56666666666667,2.28,"Croatia"
"43","HRV",2015,3,0.63,0.593,0.63,0.444,0.37,0.407,0.37,0.556,3.15,3.28333333333333,3.63333333333333,3.09333333333333,"Croatia"
"44","HRV",2015,4,0.63,0.667,0.556,0.407,0.37,0.333,0.444,0.593,3.18333333333333,3.08333333333333,3.67333333333333,3.65333333333333,"Croatia"
"45","HUN",2015,1,0.833,0.75,0.792,0.792,0.167,0.25,0.208,0.208,0.683333333333333,0.8,0.883333333333333,0.58921568627451,"Hungary"
"46","HUN",2015,2,0.792,0.792,0.792,0.667,0.208,0.208,0.208,0.333,0.85,0.75,1.01666666666667,1.14509803921569,"Hungary"
"47","HUN",2015,3,0.792,0.792,0.667,0.583,0.208,0.208,0.333,0.417,0.8,0.8,1.20588235294118,1.60686274509804,"Hungary"
"48","HUN",2015,4,0.75,0.708,0.667,0.542,0.25,0.292,0.333,0.458,0.983333333333333,1.03333333333333,1.26764705882353,1.84705882352941,"Hungary"
"49","IRL",2015,1,0.849,0.868,0.811,0.906,0.151,0.132,0.189,0.094,0.335714285714286,0.321428571428571,0.4,0.280897009966777,"Ireland"
"50","IRL",2015,2,0.849,0.849,0.83,0.83,0.151,0.151,0.17,0.17,0.359468438538206,0.359468438538206,0.485714285714286,0.361794019933555,"Ireland"
